,id_review,rating,compound,Sentiment,pred,temp_pred,fin_pred
ChZDSUhNMG9nS0VJQ0FnSUM4XzY2amR3EAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUM4MnF6Wll3EAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUM4MU1MdFhnEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjeHEycnlnRRAB,,4.0,1.5,Positive,5,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURjNnB2Y3FBRRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURjbk9tS3B3RRAB,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUNjdGVTb3V3RRAB,Excellent infrastructure and have almost all modern facilities which includes  Plugo the powerbank on rent service which is simply awesome and great idea.,5.0,0.9169,Positive,4,4.5,5
ChdDSUhNMG9nS0VJQ0FnSUNjcGZid3VnRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURzbnV1MldBEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURzbnFPUF9nRRAB,The campus is amazing,4.0,0.5859,Positive,3,3.5,4
ChZDSUhNMG9nS0VJQ0FnSURzbXRMVkNnEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSURzNHZxWDJBRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURzNHZxQktREAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURzNkxUaWN3EAE,Very good infrastructure and staff also food 10/10,5.0,0.4927,Positive,3,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURzOE1XTzVRRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNzallhUlhnEAE,Amazing,4.0,0.5859,Positive,3,3.5,4
ChdDSUhNMG9nS0VJQ0FnSUNzbk55MHFnRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURNMzVDa1dnEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUNNakxmYkR3EAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUQwX3ZHekdBEAE,Awesome people Live there,5.0,0.6249,Positive,3,4.0,4
ChZDSUhNMG9nS0VJQ0FnSUQwdHM3aExnEAE,,5.0,1.5,Positive,5,5.0,5
ChdDSUhNMG9nS0VJQ0FnSUQwbXMzRmpBRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUQwcXFUNE1BEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUQwa3FtWldnEAE,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUQwbElhdU1REAE,👌👌👌,5.0,0.9545,Positive,4,4.5,5
ChdDSUhNMG9nS0VJQ0FnSUMwdFk2R2tRRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSUMwMnMzSlZBEAE,Nice great break in the middle of Tech hubris. Most modern facilities available for visitors and yet it retains the academic look.,5.0,0.7845,Positive,4,4.5,5
ChdDSUhNMG9nS0VJQ0FnSUMwb3Q3VHhRRRAB,Engineering degree is available or not??how much money in total we have to pay....I'm from manipur I want to study in this college so I want to know about it...also any nearby rent is available or not??,5.0,0.4288,Positive,3,4.0,4
ChdDSUhNMG9nS0VJQ0FnSURVbjV1VHNnRRAB,,5.0,1.5,Positive,5,5.0,5
ChZDSUhNMG9nS0VJQ0FnSURVNzdTY1NREAE,Very nice infrastructure n ambience,5.0,0.4754,Positive,3,4.0,4
