,Unnamed: 0,Topic,question,Followers,Answers,Ratio,Engagement potential,Last action,Parsed time,Question link,answers,compound,Sentiment,old_score,followers_n,engagement,sentiment_score,old_score
0,0,National-Institute-of-Technology-Karnataka-Surathkal-3,Do M.Tech students of NITs Trichy/Surathkal/Warangal have to face ragging or is there no ragging at the M.tech level? Can students who did their MTech from these institutes share their experience?,1,3,1/3,No,Requested,2020-08-03,https://www.quora.com/Do-M-Tech-students-of-NITs-Trichy-Surathkal-Warangal-have-to-face-ragging-or-is-there-no-ragging-at-the-M-tech-level-Can-students-who-did-their-MTech-from-these-institutes-share-their-experience,firstly ragging is strictly prohibited in all the colleges wheather they IITS NITS OR any other college . Now coming to your question ragging at M.tech level does not exist. Even now at graduation level their is no ragging due to strict law . ,-0.09866666666666667,Negative,2.8026666666666666,0.016129032258064516,0,2.8026666666666666,2.8026666666666666
1,1,National-Institute-of-Technology-Karnataka-Surathkal-3,Do M.Tech students of NITs Trichy/Surathkal/Warangal have to face ragging or is there no ragging at the M.tech level? Can students who did their MTech from these institutes share their experience?,1,3,1/3,No,Requested,2020-08-03,https://www.quora.com/Do-M-Tech-students-of-NITs-Trichy-Surathkal-Warangal-have-to-face-ragging-or-is-there-no-ragging-at-the-M-tech-level-Can-students-who-did-their-MTech-from-these-institutes-share-their-experience,I am not graduate from this NITs but one of my friend is in NIT Trichy. When I asked to him he completely discards the activity of raging in such national importance institutes. Students in such institutions are mature and aware of their career. ,0.19246666666666665,Positive,3.384933333333333,0.016129032258064516,0,3.384933333333333,3.384933333333333
2,2,National-Institute-of-Technology-Karnataka-Surathkal-3,Do M.Tech students of NITs Trichy/Surathkal/Warangal have to face ragging or is there no ragging at the M.tech level? Can students who did their MTech from these institutes share their experience?,1,3,1/3,No,Requested,2020-08-03,https://www.quora.com/Do-M-Tech-students-of-NITs-Trichy-Surathkal-Warangal-have-to-face-ragging-or-is-there-no-ragging-at-the-M-tech-level-Can-students-who-did-their-MTech-from-these-institutes-share-their-experience,"I completed my M.Tech from NIT Trichy. I didn’t face any kind of ragging. My personal experience with my immediate seniors was minimal. But, a lot of students have excellent relationships with their seniors. ",0.180675,Positive,3.36135,0.016129032258064516,0,3.36135,3.36135
3,3,National-Institute-of-Technology-Karnataka-Surathkal-3,"I got a 97.63 percentile in the Mains. Which branch can I get in NITK (home state, news)?",0,1,0/1,No,Requested,2020-08-01,https://www.quora.com/I-got-a-97-63-percentile-in-the-Mains-Which-branch-can-I-get-in-NITK-home-state-news,Civil metallurgy and mining ,0.0,Neutral,3.0,0.0,0,3.0,3.0
4,4,National-Institute-of-Technology-Karnataka-Surathkal-3,I have been alloted IIT Bombay (RA) in Electronics Systems (3year programme) and VLSI in NIT Suratkal. What should I go with?,0,1,0/1,No,Requested,2020-08-01,https://www.quora.com/I-have-been-alloted-IIT-Bombay-RA-in-Electronics-Systems-3year-programme-and-VLSI-in-NIT-Suratkal-What-should-I-go-with,Vlsi nitk. ,0.0,Neutral,3.0,0.0,0,3.0,3.0
5,5,National-Institute-of-Technology-Karnataka-Surathkal-3,Do M.Tech students face ragging at NIT Trichy or Surathkal?,3,4,3/4,No,Followed,2020-07-31,https://www.quora.com/Do-M-Tech-students-face-ragging-at-NIT-Trichy-or-Surathkal,"Hey I have never witnessed any type of ragging activity either during B.Tech or M.Tech. I am currently doing M.Tech from NIT Karnataka. So I can tell about the situation of M.Tech student. In the first semester you have to clear six subjects and one lab with so many mini projects and assignments. Sometime you won’t even get time to talk with your roommates. Even the second year M.Tech students are so busy in either doing research or internship. During the first year of my M.Tech, I knew about only one senior and he never treated me as a junior. I remember the incident when I called my senior as S Continue ReadingHey I have never witnessed any type of ragging activity either during B.Tech or M.Tech. I am currently doing M.Tech from NIT Karnataka. So I can tell about the situation of M.Tech student. In the first semester you have to clear six subjects and one lab with so many mini projects and assignments. Sometime you won’t even get time to talk with your roommates. Even the second year M.Tech students are so busy in either doing research or internship. During the first year of my M.Tech, I knew about only one senior and he never treated me as a junior. I remember the incident when I called my senior as SIR, literally he started laughing. And you know what he said that we are at the same stage the only difference is that I am little more experienced than you. Please don’t call me sir. And now what I feel is that postgraduate student is mature enough. They know the importance of time. In NITK, students prefer to spend their spare time near beach. I don’t think involving in ragging activity is more cool than spending time near NITK beach. One of my friend has completed M.Tech from NIT Trichy in 2020. She never mentioned anything about ragging. She always told me that her senior helped her alot to excel in campus placement exam. In both the NIT there is one anti ragging community. NIT Trichy - Anti ragging National Institute of Technology Karnataka, Surathkal You may refer these links to know in details. Hope it helps. Thank You Richa Priyanka ✍️ ",0.14595714285714287,Positive,3.291914285714286,0.04838709677419355,1,4.291914285714286,3.291914285714286
6,6,National-Institute-of-Technology-Karnataka-Surathkal-3,Do M.Tech students face ragging at NIT Trichy or Surathkal?,3,4,3/4,No,Followed,2020-07-31,https://www.quora.com/Do-M-Tech-students-face-ragging-at-NIT-Trichy-or-Surathkal,"No! We don’t! There is a special provision for avoiding that kind of ragging! They have provided 1st years with special separate hostels for themselves which is away from the seniors in both B.Tech. and M.Tech.. In our department, we barely knew our seniors when we arrived. They only meet in classrooms. Punishments for the ragging and harassment are very severe here! ",-0.03818750000000001,Neutral,2.923625,0.04838709677419355,1,2.923625,2.923625
7,7,National-Institute-of-Technology-Karnataka-Surathkal-3,How are the hostels of NIT Surathkal for MSc students?,1,1,1/1,No,Followed,2020-07-31,https://www.quora.com/How-are-the-hostels-of-NIT-Surathkal-for-MSc-students,hostels in nitk are good. ,0.4404,Positive,3.8808,0.016129032258064516,0,3.8808,3.8808
8,8,National-Institute-of-Technology-Karnataka-Surathkal-3,Is there any difference in placement opportunities for an M.Tech in IT and an MTech in CSE at NITK?,3,1,3/1,No,Followed,2020-07-31,https://www.quora.com/Is-there-any-difference-in-placement-opportunities-for-an-M-Tech-in-IT-and-an-MTech-in-CSE-at-NITK,Placements largely variable. ,0.0,Neutral,3.0,0.04838709677419355,1,3.0,3.0
9,9,National-Institute-of-Technology-Karnataka-Surathkal-3,Can I get Surathkal NIT with a 95.6067345 percentile in 2020?,7,1,7/1,Yes,Followed,2020-07-30,https://www.quora.com/Can-I-get-Surathkal-NIT-with-a-95-6067345-percentile-in-2020,"Depends on what branch do you want, if you’ve the home state quota then you may get civil or metallurgy if you’re from All India Quota then the chances are quite slim because is among The top NITs ",0.4404,Positive,3.8808,0.11290322580645161,1,4.8808,3.8808
