,Unnamed: 0,Topic,question,Followers,Answers,Ratio,Engagement potential,Last action,Parsed time,Question link,answers,compound,Sentiment,old_score,followers_n,engagement,sentiment_score
0,0,PES-University-1,"What should I practice for the PESSAT, the BITSAT PYQ or the COMEDK PyQ?",3,2,3/2,No,Followed,2020-08-02,https://www.quora.com/What-should-I-practice-for-the-PESSAT-the-BITSAT-PYQ-or-the-COMEDK-PyQ,Both! You should give more importance to COMEDK PyQ along with some weekly BITSAT PyQ. ,0.21005,Positive,3.4201,0.12,1,4.4201
1,1,PES-University-1,"What should I practice for the PESSAT, the BITSAT PYQ or the COMEDK PyQ?",3,2,3/2,No,Followed,2020-08-02,https://www.quora.com/What-should-I-practice-for-the-PESSAT-the-BITSAT-PYQ-or-the-COMEDK-PyQ,JEE MAINS PYQ ! ,0.0,Neutral,3.0,0.12,1,
2,2,PES-University-1,Can I crack the PESSAT as I am a PCMB student with very minimal knowledge in math?,1,3,1/3,No,Followed,2020-08-02,https://www.quora.com/Can-I-crack-the-PESSAT-as-I-am-a-PCMB-student-with-very-minimal-knowledge-in-math,"Yes, you definitely can crack the exam. Put in your best efforts and leave the rest to Almighty. Thanks! ",0.5882333333333333,Positive,4.176466666666666,0.04,0,4.176466666666666
3,3,PES-University-1,Can I crack the PESSAT as I am a PCMB student with very minimal knowledge in math?,1,3,1/3,No,Followed,2020-08-02,https://www.quora.com/Can-I-crack-the-PESSAT-as-I-am-a-PCMB-student-with-very-minimal-knowledge-in-math,Just do your best. But please make sure to practice some calculus. It'll be a great help for PESSAT and also for your academics. ,0.7082666666666667,Positive,4.416533333333334,0.04,0,4.416533333333334
4,4,PES-University-1,Can I crack the PESSAT as I am a PCMB student with very minimal knowledge in math?,1,3,1/3,No,Followed,2020-08-02,https://www.quora.com/Can-I-crack-the-PESSAT-as-I-am-a-PCMB-student-with-very-minimal-knowledge-in-math,Unlikely. ,0.0,Neutral,3.0,0.04,0,3.0
5,5,PES-University-1,What is the total fee structure for a B.Tech in the CSE branch at KIIT and PES University?,4,1,4/1,Yes,Followed,2020-08-02,https://www.quora.com/What-is-the-total-fee-structure-for-a-B-Tech-in-the-CSE-branch-at-KIIT-and-PES-University,"I am not sure about the fees at KIIT but the fees of PES UNIVERSITY depends on the basis of which test you consider for taking the admission;for pessat category students it is 3,20,000/- per year and for kcet I am not sure about it. ",-0.4449,Negative,2.1102,0.16,1,1.1101999999999999
6,6,PES-University-1,Which institute is better for CSE placements kalinga institute of technology (KIIT) or PES University?,4,3,4/3,No,Followed,2020-08-02,https://www.quora.com/Which-institute-is-better-for-CSE-placements-kalinga-institute-of-technology-KIIT-or-PES-University,Placements for the CSE branch in 2020 was almost at 100% (Except for some people who had 5–6 backlogs) CSE students get a lot of extra attention and care and lots of other opportunities too. Don’t hesitate just go for it. ,0.21355000000000002,Positive,3.4271000000000003,0.16,1,4.4271
7,7,PES-University-1,Which institute is better for CSE placements kalinga institute of technology (KIIT) or PES University?,4,3,4/3,No,Followed,2020-08-02,https://www.quora.com/Which-institute-is-better-for-CSE-placements-kalinga-institute-of-technology-KIIT-or-PES-University,KIIT has better placements ratios as compared to PES if you consider CSE branch. ,0.4404,Positive,3.8808,0.16,1,4.8808
8,8,PES-University-1,Which institute is better for CSE placements kalinga institute of technology (KIIT) or PES University?,4,3,4/3,No,Followed,2020-08-02,https://www.quora.com/Which-institute-is-better-for-CSE-placements-kalinga-institute-of-technology-KIIT-or-PES-University,PES University. ,0.0,Neutral,3.0,0.16,1,
9,9,PES-University-1,Is there a BCA in the PES main branch (RR Nagar)?,0,1,0/1,No,Requested,2020-08-01,https://www.quora.com/Is-there-a-BCA-in-the-PES-main-branch-RR-Nagar,No ,-0.296,Negative,2.408,0.0,0,2.408
10,10,PES-University-1,How was your PESSAT exam 2020?,2,1,2/1,No,Followed,2020-08-01,https://www.quora.com/How-was-your-PESSAT-exam-2020,"Yeah its ok , I've driven worse cars. ",0.0772,Positive,3.1544,0.08,1,4.1544
11,11,PES-University-1,Do a lot of ppl shift their branch to EEE in PESU? Are there any chances of shifting with with little low Cgpa?,1,1,1/1,No,Requested,2020-07-31,https://www.quora.com/Do-a-lot-of-ppl-shift-their-branch-to-EEE-in-PESU-Are-there-any-chances-of-shifting-with-with-little-low-Cgpa,"No, shifting branches is very hard and its almost impossible with low cgpa ",-0.3673,Negative,2.2654,0.04,0,2.2654
