,Unnamed: 0,Topic,question,Followers,Answers,Ratio,Engagement potential,Last action,Parsed time,Question link,answers,compound,Sentiment,old_score,followers_n,engagement,sentiment_score
0,0,Amrita-School-of-Engineering-Amritapuri-1,Which is the best of Amrita Amritapuri or Coimbatore?,1,1,1/1,No,Followed,2020-07-19,https://www.quora.com/Which-is-the-best-of-Amrita-Amritapuri-or-Coimbatore,"Coimbatore is more of a good option but then depends on which course u want to go for, fee too differ in both if thats an factor ",0.3678,Positive,3.7356,0.05,0,3.7356
1,1,Amrita-School-of-Engineering-Amritapuri-1,Which is the best of Amrita Amritapuri or Coimbatore?,1,1,1/1,No,Followed,2020-07-19,https://www.quora.com/Which-is-the-best-of-Amrita-Amritapuri-or-Coimbatore,"Coimbatore is more of a good option but then depends on which course u want to go for, fee too differ in both if thats an factor ",0.3678,Positive,3.7356,0.05,0,3.7356
2,2,Amrita-University-Amritapuri-Campus,Which is the best of Amrita Amritapuri or Coimbatore?,1,1,1/1,No,Followed,2020-07-19,https://www.quora.com/Which-is-the-best-of-Amrita-Amritapuri-or-Coimbatore,"Coimbatore is more of a good option but then depends on which course u want to go for, fee too differ in both if thats an factor ",0.3678,Positive,3.7356,0.05,0,3.7356
3,3,Amrita-University-Amritapuri-Campus,Which is the best of Amrita Amritapuri or Coimbatore?,1,1,1/1,No,Followed,2020-07-19,https://www.quora.com/Which-is-the-best-of-Amrita-Amritapuri-or-Coimbatore,"Coimbatore is more of a good option but then depends on which course u want to go for, fee too differ in both if thats an factor ",0.3678,Positive,3.7356,0.05,0,3.7356
4,4,Amrita-School-of-Engineering-Amritapuri-1,Will the Amrita entrance exam be postponed again?,1,1,1/1,No,Followed,2020-06-17,https://www.quora.com/Will-the-Amrita-entrance-exam-be-postponed-again,"Hello there, Amrita entrance has been scheduled to take place in various phases. So far, there is no notice regarding the postponement of the exam. The authorities will assess the situation and accordingly announce any update. So keep checking the official website for updates. ",-0.074,Negative,2.8520000000000003,0.05,0,2.8520000000000003
5,5,Amrita-School-of-Engineering-Amritapuri-1,"How good is engineering at Amrita University, Amritapuri campus?",1,2,1/2,No,Followed,2020-04-27,https://www.quora.com/How-good-is-engineering-at-Amrita-University-Amritapuri-campus,"I am a cse student in amritapuri 2nd year , I can only say about CSE. In amritapuri there are two clubs in amritapuri FOSS, Bi0s. CSE at amritapuri is good only if you could be a member of this club. Other that there is nothing good here in amritapuri. Faculty is great but all you could learn is theoritical you dont get any practical experience. You would be given lots of works just like in school. Everyone end up copying from someone else. Students are not taught any techinical skills all that is taught is theory.The food is really bad, you wont get holidays to visit home and the train journe Continue ReadingI am a cse student in amritapuri 2nd year , I can only say about CSE. In amritapuri there are two clubs in amritapuri FOSS, Bi0s. CSE at amritapuri is good only if you could be a member of this club. Other that there is nothing good here in amritapuri. Faculty is great but all you could learn is theoritical you dont get any practical experience. You would be given lots of works just like in school. Everyone end up copying from someone else. Students are not taught any techinical skills all that is taught is theory.The food is really bad, you wont get holidays to visit home and the train journey is really long to reach amritapuri. It either rains or it is hot. I would say if you get cse you can join then try to be part of FOSS, Bi0S it really difficult to get into this clubs. Amritapuri is only good for FOSS Bi0s .These clubs are better than those in some of the good clg. If you didn't get CSE dont join. You can get CSE through management quota also. But if you didn't get CSE dont join . I am telling this through my personal experience. ",0.017840909090909088,Neutral,3.035681818181818,0.05,0,3.035681818181818
6,6,Amrita-School-of-Engineering-Amritapuri-1,"How good is engineering at Amrita University, Amritapuri campus?",1,2,1/2,No,Followed,2020-04-27,https://www.quora.com/How-good-is-engineering-at-Amrita-University-Amritapuri-campus,"If you are an keralite then it would definitely suit you. It is very strict and food for our andraites is worse because we addicted to little spicy things. Education wise its good you will different unique softwares which will be no where available, best library. Infrastructure wise as it's traditional College you cannot expect much. ",0.31052499999999994,Positive,3.62105,0.05,0,3.62105
7,7,Amrita-School-of-Engineering-Amritapuri-1,"Have I taken the right decision by joining ECE in Amrita, when I had option of ECE from GEC-T and Applied Electronics from CET, provided ECE is my branch of choice? If not what can I do? Will I regret my decision?",2,1,2/1,No,Followed,2019-11-13,https://www.quora.com/Have-I-taken-the-right-decision-by-joining-ECE-in-Amrita-when-I-had-option-of-ECE-from-GEC-T-and-Applied-Electronics-from-CET-provided-ECE-is-my-branch-of-choice-If-not-what-can-I-do-Will-I-regret-my-decision,"Few assumptions I’m making: you are studying in Amritapuri campus, GEC-T is GEC Thrissur and CET is College of Engineering Trivandrum. If you meant something else, do let me know. However, it is possible the following answer could still be relevant. <edit> Okay I missed the topics on the question, one of which is the Amritapuri campus and of course GEC Thrissur and College of Engineering, Trivandrum as well. My bad!</edit> I can give you an anecdote of someone I know who was in a similar position few years ago but in a different branch(CSE). He had a very good rank in the Kerala entrance exam(somewhere in 500s IIRC) However, he chose not to join CET, GEC or any other good college you can name in Kerala and chose to study in Amritapuri campus. Few people somehow got to know this and naturally, many were bewildered by the choice. “Why would someone who is this good come to study in a private institution(that too this specific campus!) which is considered by many as lower ranked than many other colleges in Kerala but also very much more expensive?” was probably their thought process. I think he was initially slightly affected by in the first semester or so but after that, didn’t make a big deal of it. He remembered some reasons why he chose this campus(personal reasons I’m not privy to) and then decided to make best of his time there. He did pretty well in the FOSS club on campus and developed pretty amazing skills during his time. He went on to pursue Masters with funding, get a nice job and is now doing a PhD in a really good lab. He still continues to be involved as a mentor in the club and helps people out. He does not ever regret joining Amrita and Amritapuri campus: he feels it’s the best thing that’s happened to him and he feels he probably wouldn’t have got similar opportunities and exposure elsewhere. If he could go back, he would never change the decision to join Amrita and the Amritapuri campus. There are so many clubs and opportunities in Amrita which are just not available in GEC-T, CET or anywhere else. I don’t deny that they are good institutions but I just haven’t seen a similar level of achievements from students in these institutions as I have from Amrita. For instance, the students from HuT labs have been very active and participating in several international competitions but I haven’t heard of many other such teams from Kerala. Similarly the AmFOSS club and team bi0s at Amritapuri campus are extremely good and active in several programs such as the Google Summer of Code and cybersecurity CTF competitions. bi0s is the number 1 team in India and AmFOSS club has been in top 10 in number of students selected for GSoC worldwide multiple years! Personally, I’ve not heard a similarly active club in other colleges. There are multiple research labs doing awesome work like Amrita WNA, AMMACHI and HuT labs to name a very select few and students can also be a part of the lab working on some interesting ideas. So you are not in an institute without much opportunities to do good things. You should start leveraging them and make the most of them. But of course, if you do regret, you can always switch to one of the other institutions next year. It would be a waste of a year but a year is just a very small time that wouldn’t have much impact. I would say explore things you can do on campus to see if there’s something that interests you and helps you build your skills for this year. You might find something interesting and worthwhile to do. Finally I believe that your future is, to a good extent, in your hands. Regretting and not regretting in future is thus also in your hands: you have the power to decide which happens. Good luck! <edit>If someone else gives you their opinion that you should have gone to GEC/CET/elsewhere, ask them why. Analyse their answer and then decide if it’s worth it. Statements like “Oh education is much cheaper there”, “Placements are better there” need better analysis etc. For the former, you should compare RoI and not just that the fees is less. For the latter, gather best stats you can obtain and compare to decide. Do not take any handwaving statements at face value: gather data, analyse them and decide their veracity.</edit> ",0.30835789473684216,Positive,3.6167157894736843,0.1,0,3.6167157894736843
8,8,Amrita-School-of-Engineering-Amritapuri-1,"Which college is better, GITAM Bangalore CSE or Amrita Amritapuri CSE in terms of placements, teaching, campus, food, etc.?",1,1,1/1,No,Followed,2019-07-05,https://www.quora.com/Which-college-is-better-GITAM-Bangalore-CSE-or-Amrita-Amritapuri-CSE-in-terms-of-placements-teaching-campus-food-etc,"I don’t know much about GITAM. If you are interested in CSE, consider studying at Amrita University’s Amritapuri campus. There are good opportunities for CSE if you are willing to work hard. I don’t know what your chances are though. The answers to following questions would be helpful; there are more answers out there by many others with their perspective. Is Amrita University, Amritapuri Campus a good place for BTech CSE?Why Amrita University, Amritapuri Campus is a good place to study CSE?Which Amrita branch is better for CSE, Amritapuri or Coimbatore?What happens in the FOSS club on the Amritapuri campus? ",0.4191833333333333,Positive,3.8383666666666665,0.05,0,3.8383666666666665
9,9,Amrita-School-of-Engineering-Amritapuri-1,"How are the first year hostel rooms at Amrita, Amritapuri?",3,1,3/1,No,Followed,2019-06-29,https://www.quora.com/How-are-the-first-year-hostel-rooms-at-Amrita-Amritapuri,"They are great! First year hostels, will have an attached bathroom, as they are on the ashram side (and as they will be used to accommodate visitors when any events like Amma birthday happen). No one will clean the room for you. You have to clean your room and bathroom . There will be inspections once in a while to check the condition of the rooms. If they are not clean, you will be fined. The deadline to enter the hostel should be around 9:30Pm for first year hostels ( don't know if it's still the same). You may not be allowed to get non-veg in first year hostels. Hope it helps. PS: The main issue is, you will get hard brown water in the mornings. We used to use sponge in a half cut bottle to filter out the mud . Comment down if you need more details or info.  ",0.12796666666666667,Positive,3.255933333333333,0.15,1,4.255933333333333
